bedrooms,area,bathrooms,price
2,1175,2,8200000
3,1400,2,9500000
3,2225,3,16000000
2,1050,2,7100000
2,1100,2,4600000
2,918,2,5049000
3,1450,2,10000000
2,1190,2,4998000
3,1420,2,9600000
3,1680,3,12000000
2,980,2,6900000
2,1180,2,7200000
3,1400,3,11500000
2,1270,2,8300000
4,2503,4,18800000
3,2200,3,19000000
3,1575,2,11000000
3,1850,3,14000000
3,1575,2,12000000
3,1850,3,15000000
3,1680,3,12000000
2,1175,2,8250000
2,1215,2,9000000
2,1050,2,7500000
3,1300,3,8913000
2,1130,2,7300000
3,1450,3,10000000
2,1050,2,5000000
2,1275,2,8700000
3,1650,3,11000000
2,850,2,4200000
3,1680,3,11700000
3,1850,3,15000000
2,1236,2,6133000
2,1000,2,5300000
3,1680,3,12500000
3,1675,2,13500000
2,1187,2,5900000
3,1850,3,15500000
2,1000,2,6100000
3,1460,2,10000000
3,1650,3,11000000
2,1200,2,6250000
2,1000,2,7065000
2,1080,2,7500000
3,1680,3,12500000
3,1460,2,9700000
2,1120,2,6500000
2,1100,3,6000000
3,1790,3,12000000
3,1680,3,11700000
2,1050,2,7700000
2,1050,2,7500000
2,1040,2,7500000
3,1400,2,9500000
3,1800,3,13000000
2,1050,2,6800000
2,1000,2,6000000
3,1680,3,12500000
2,1050,2,7747000
2,1270,2,8000000
3,1680,3,12200000
2,1130,2,8500000
3,1680,3,13000000
2,980,2,7744000
3,1680,3,11200000
3,2095,3,15000000
3,1976,3,14500000
3,1600,2,11000000
3,1765,3,11800000
3,1275,2,8800000
3,1450,2,10200000
3,1575,2,11000000
1,750,1,4700000
2,990,2,5000000
1,1000,1,6000000
3,1430,2,10200000
2,1128,2,6000000
2,1140,2,5700000
3,1420,3,9000000
2,1530,2,10800000
2,1073.5,2,5400500
1,451,1,2990000
2,1062,2,4247000
3,1455,3,7331000
2,871,2,5500000
2,1098,2,4391000
3,1800,3,8000000
4,2700,4,13000000
2,1080,2,3800000
2,1059,2,3450000
2,1080,2,3500000
2,1062,2,4247000
1,500,1,3100000
2,1100,2,3500000
4,2100,4,9200000
2,1035,2,3933000
2,909,2,4090000
3,1431.5,3,7202000
3,1900,4,9000000
1,500,1,3000000
2,1125,2,3694000
2,1100,2,3500000
2,1089,2,4355000
3,1504,2,8300000
4,2600,4,11500000
2,1089,2,4355000
2,1513,2,6200000
2,1298,2,5900000
2,1006,2,4400000
1,500,1,3300000
2,1160,2,9500000
2,1245,2,5900000
2,1510,2,8000000
3,3300,3,16500000
5,1730,5,7500000
2,1046,2,4800000
3,1408,3,8000000
2,1005,2,5000000
2,1100,2,6500000
2,1080,2,3700000
2,1035,2,4500000
4,5000,4,29000000
2,1164,2,5600000
2,1005,2,4200000
2,1127,2,5000000
2,1005,2,4300000
2,835,2,3700000
2,1050,2,3900000
2,660,2,2700000
1,600,1,2000000
2,1466,2,7100000
3,1890,2,9300000
2,1079,2,6000000
2,1480,2,8000000
2,1200,2,8000000
2,905,2,3200000
2,1073,2,5236000
3,1719.3,2,8800000
3,1780,3,8800000
3,1522,3,9000000
2,890,2,4500000
4,5000,4,30000000
2,1050,2,3500000
2,1331.95,2,6900000
2,1100,2,4500000
2,1028,2,4200000
2,1199,2,6500000
2,1080,2,5500000
2,1123,2,6400000
2,1308,2,6000000
2,1005,2,5500000
2,985,2,4039000
6,2200,6,6800000
1,765,2,3000000
2,880,2,3500000
2,795,2,3254000
2,1005,2,3959000
1,734,1,1982000
2,1020,2,4182000
2,985,2,4039000
6,2500,6,8100000
2,795,2,3254000
2,1130,2,4633000
2,795,1,3260000
8,3000,8,15000000
2,985,2,3892000
2,1000,2,4100000
2,995,2,4080000
2,1020,2,4080000
2,1388,2,5700000
2,1070,2,5400000
2,1280,2,5800000
3,1662,3,8510000
3,1897,3,12000000
3,1410,2,7500000
3,1360,2,8500000
3,1410,2,8000000
3,1662,3,8500000
3,1662,3,8550000
2,1280,2,6000000
3,1666,3,9500000
3,1575,3,9000000
3,1430,2,7500000
3,1419,2,7300000
2,1280,2,6000000
2,1200,2,5000000
2,1092,2,6000000
3,1690,3,8500000
3,1897,4,9300000
3,1884,3,9800000
2,1314,2,6880000
3,1690,3,8500000
2,1265,2,6700000
2,1126,2,5500000
3,1662,3,9000000
3,1420,2,7500000
3,1412,2,8800000
3,1434,3,8400000
3,1890,4,10000000
3,1419,2,8700000
2,1300,2,5400000
3,1690,3,8500000
2,1113,2,5200000
3,1820,4,9500000
2,1100,2,4800000
3,1896,3,10200000
2,1300,2,6600000
2,1225,2,6800000
2,1179,2,5100000
3,1421,2,7300000
3,1893,4,9500000
2,900,2,4500000
2,1105,2,7500000
3,1800,3,11000000
2,1150,2,8000000
2,1250,2,6625000
2,1332,2,7900000
3,1730,3,12000000
2,1230,2,6625000
2,1351,2,7700000
2,1303,2,8000000
3,1607,2,11200000
1,770,1,4382000
2,1700,2,7600000
2,1060,2,5850000
3,1650,3,10000000
3,1607,2,11200000
2,1198,2,8000000
3,1935,4,13000000
2,1424,2,9000000
3,2225,4,16900000
3,1862,3,12000000
3,1850,4,13900000
3,1936,4,12600000
3,1862,3,11900000
2,1424,2,9000000
3,2150,4,12500000
4,3530,4,29000000
3,1856,3,12000000
3,1852,3,13000000
3,1850,4,12000000
2,1367,2,8600000
4,3565,4,25500000
2,1409,2,9500000
3,1950,4,12000000
3,1921,4,12900000
3,1920,4,12100000
3,1935,4,12500000
3,1852,4,12200000
3,1950,4,12000000
3,1852,3,12500000
3,1850,4,12100000
2,1425,2,9400000
3,2395,4,15000000
2,900,2,4000000
2,1200,2,5500000
3,1900,3,13500000
2,924,2,4500000
2,900,2,6000000
2,1100,2,4500000
2,1200,2,5500000
3,1450,2,8500000
2,1200,2,5500000
2,1250,2,7900000
2,1190,2,5000000
2,1202,2,6500000
2,1340,2,7500000
3,2650,4,17500000
3,1450,2,9000000
2,1025,2,4200000
1,485,1,1950000
2,1167,2,4376000
2,1000,2,5500000
2,1141,2,4279000
2,1200,2,6700000
2,1200,2,5800000
2,1151,2,4310000
2,1141,2,4275000
2,900,2,4800000
4,1749,4,9000000
2,1151,2,4290000
2,1250,2,4500000
2,1151,2,4316000
2,1200,2,5800000
3,1200,2,6600000
3,1415,2,7400000
2,1200,2,5000000
2,1141,2,5000000
1,500,1,1400000
2,1100,2,3150000
2,982,2,2455000
1,500,2,1400000
2,900,2,2250000
2,908,2,2600000
2,870,2,3600000
2,937,2,3500000
2,960,2,3700000
1,500,1,1400000
2,1000,2,2970000
2,850,2,2599000
2,902,2,2526000
3,1470,3,5400000
2,810,2,2550000
2,890,2,2700000
2,1200,2,3600000
3,1319,3,4200000
2,1000,2,2500000
2,902,2,2500000
2,930,2,2599000
2,1074,2,2685000
1,500,1,1400000
2,1010,2,3800000
2,992,2,2480000
2,1200,1,3600000
2,656,2,2200000
2,620,2,2200000
1,600,1,1650000
2,925,2,4000000
1,530,1,1800000
3,1800,3,6800000
2,1200,1,3600000
2,1035,2,3830000
2,888,2,3400000
2,1200,2,3610000
2,700,1,1940000
2,1200,1,3600000
4,1200,2,3600000
2,766,2,2800000
3,967,2,4500000
2,620,1,2350000
3,1150,3,4500000
2,1200,1,3600000
2,1200,1,3600000
1,400,1,1150000
1,456,1,1500000
2,1200,1,3600000
2,1200,1,3600000
3,2400,4,9500000
2,1200,2,3610000
2,1200,2,3610000
2,680,1,2100000
1,420,1,1250000
2,614,1,2800000
2,1140,2,5200000
2,625,1,2500000
4,1850,4,8600000
2,1070,2,3900000
3,1500,3,12100000
2,1070,2,3700000
2,950,2,4000000
3,1280,2,4500000
2,710,2,2500000
2,950,2,3200000
4,1800,4,5500000
3,1843,3,8754000
2,1076,2,3013000
2,950,2,3000000
3,1750,3,10000000
4,3198,4,20000000
4,2422,4,16000000
3,1750,3,10000000
4,3200,4,20500000
3,1728,3,9500000
4,2062,3,14000000
3,1732.46,3,9200000
4,2062,3,15000000
2,1224,2,7000000
3,1777.26,3,10500000
3,1650,3,8200000
4,2062,3,14000000
3,1650,3,8200000
2,1224,2,6700000
3,1723,3,9500000
3,1777.26,3,8900000
3,1777.26,3,9200000
3,2060,3,14000000
2,920,2,4000000
3,1740,2,9500000
2,1190,2,5500000
1,600,1,2800000
3,2072,3,10800000
2,1100,2,5500000
2,900,2,5000000
2,1240,2,6000000
2,900,2,4450000
1,450,1,1100000
4,1600,4,5280000
2,656,2,2500000
1,400,1,1100000
1,400,1,1200000
1,400,1,1400000
1,500,1,1700000
4,2168,4,9500000
1,395,1,1025000
1,420,1,1700000
1,418,1,1200000
2,1200,2,4200000
1,400,1,1000000
2,695,1,2500000
2,850,1,2500000
3,2400,3,12000000
1,450,1,1250000
1,782,1,1955000
2,656,2,2500000
1,400,1,1150000
1,460,1,1300000
1,418,2,1150000
2,1000,2,4200000
1,550,1,1150000
1,410,1,1000000
3,1700,3,6500000
1,400,1,1025000
2,656,2,2500000
3,1500,3,9000000
1,520,1,1500000
2,1060,2,5500000
2,999,2,4500000
5,2400,4,22500000
2,1194,2,6500000
2,1200,2,6700000
2,2400,2,22800000
2,1194,2,6500000
1,375,1,4000000
3,1717,3,20000000
2,950,2,5200000
3,1850,3,17000000
2,1200,2,8000000
2,1274,2,7000000
2,1070,2,4800000
2,1280,2,8000000
2,1100,2,7000000
2,1000,2,5800000
5,2990,5,41600000
2,1265,2,5500000
3,2200,3,22000000
3,2780,4,32500000
3,2400,2,36000000
2,965,2,5600000
2,1147,2,7500000
3,1750,3,17200000
2,1400,2,9000000
2,1200,2,7000000
2,1100,2,4700000
2,930,2,4600000
3,2500,3,34500000
2,1150,2,6300000
6,3300,6,16500000
3,1450,2,8100000
3,1776,2,7500000
3,1458,3,7900000
2,935,2,5150000
2,1020,2,4650000
3,1600,3,11200000
3,1300,2,7500000
3,1540,2,7800000
1,450,1,2000000
2,1196,2,5681000
3,1470,2,9900000
3,1611,2,6600000
3,1675,3,7500000
2,1141,2,4600000
2,1500,2,5700000
2,1050,2,4500000
2,1141,2,4590000
3,1230,3,5300000
2,1105,2,4000000
3,1410,2,6500000
2,1450,2,5599000
2,1100,2,3800000
2,1061,2,3384000
2,1061,2,3895000
2,1061,2,3400000
2,1245,2,5800000
3,1494,2,9455000
2,1274,2,8100000
3,1842,3,11500000
3,1494,2,9455000
2,1274,2,8100000
3,1494,2,9455000
3,1842,3,11500000
3,1842,3,11500000
3,1842,3,11500000
2,1210,2,8090000
2,1210,2,7200000
2,1205,2,7850000
1,790.5,1,4190000
2,1020.07,2,6838000
2,1205.47,2,8100000
2,1007,2,6500000
2,1210,2,7400000
2,1210,2,8300000
1,675,1,4500000
1,656,1,4300000
2,1012,2,6400000
2,1007,2,6200000
2,1007,2,6700000
2,1007,2,6600000
1,645,1,3418000
1,790.5,1,4229500
2,1012,2,6500000
1,656,1,3877000
1,645,1,3900000
1,645,1,4100000
2,1210,2,8200000
1,656,1,3477000
2,1205,2,7387000
2,1012,2,7000000
2,1007,2,6800000
2,1205,2,7900000
2,1012,2,6800000
2,1077,2,3764000
3,1470,2,8864000
3,1300,2,7500000
3,1800,3,11500000
2,1125,2,6300000
2,1310,2,8000000
3,2600,4,13500000
3,1900,2,17000000
2,1260,2,7500000
2,1170,2,4679000
3,1350,2,8300000
2,1330,2,7800000
3,1400,2,7800000
3,1700,3,12500000
2,1020,2,4079000
2,1600,2,6398000
2,1041,2,3644000
1,2400,1,20000000
2,1390,2,8600000
2,1460,2,7000000
2,1200,2,6000000
2,1290,2,8000000
2,1186,2,6500000
3,1650,3,10100000
2,1181,2,7500000
2,1105,2,9000000
1,720,1,6000000
2,1040,2,4500000
2,1330,2,7700000
2,1200,2,4900000
2,1185,2,6700000
2,1000,2,5000000
3,1650,3,9075000
3,1650,3,10100000
2,1310,2,8043000
2,600,1,2700000
2,1430,2,8780000
2,1020,2,4283000
3,1540,3,8000000
2,1195,2,3584000
3,1683,3,11500000
3,1800,3,12500000
2,1175,2,4113000
3,1750,2,8900000
3,1800,3,17500000
2,1450,2,5075000
3,1770,3,10800000
3,1800,3,12500000
3,1200,3,7452000
2,1100,2,6300000
2,1020,2,4079000
2,1260,2,7500000
3,1426,3,8500000
2,1700,2,15000000
4,1200,2,15000000
3,1500,2,12000000
5,2400,3,51000000
3,1240,2,5952000
2,1250,2,11000000
3,1260,2,9500000
3,2400,2,30000000
2,1400,2,10000000
5,2800,3,42500000
3,3000,3,45000000
3,1200,2,19800000
2,1245,2,12500000
3,1305,2,5870000
2,1145,2,5840000
3,1650,3,11800000
4,2400,4,24000000
3,1350,2,6800000
3,1305,2,5900000
3,1305,2,6000000
2,1200,2,4200000
3,1305,2,5900000
3,1480,3,7548000
3,1305,2,5900000
2,1304,2,11100000
6,3000,6,15000000
2,1085,2,5000000
3,1500,2,10000000
4,2100,3,14700000
3,1420,2,9500000
3,1300,2,5850000
3,1305,2,4900000
2,1035,2,3577000
3,1355,2,6100000
3,1510,3,4757000
3,1650,3,5198000
3,1630,3,5135000
3,1510,3,4757000
3,1315,2,4900000
3,1540,3,4851000
2,920,2,4150000
2,1177.5,2,5993500
4,4800,4,19000000
4,2800,4,8900000
4,2200,4,19500000
2,1160,2,5900000
2,1180,2,5947000
3,1423,2,7173000
3,1392,3,6946000
3,1410.5,2,7038500
4,4800,3,20000000
2,1184,2,5300000
2,1145,2,5500000
2,1250,2,6000000
2,1365,2,7300000
5,1903,6,14000000
2,1222,2,8000000
2,870,2,3800000
2,1200,2,6000000
2,1340,2,7300000
2,1008,2,5200000
2,1105,2,5700000
2,1200,2,7000000
2,1050,2,6480000
2,753,3,5950000
3,2500,4,14000000
3,1665,3,11000000
3,2370,4,19500000
2,1100,2,6600000
2,1113,2,7000000
2,1200,2,7320000
2,1070,2,8700000
3,1776,3,12400000
3,1776,3,15000000
1,500,1,1850000
2,1050,2,6500000
3,1170,2,6600000
1,595,1,3332000
3,1445,3,9500000
3,1640,2,12000000
3,1460,2,9000000
2,1179,2,6602000
2,1122.5,2,5893500
2,793,2,4500000
2,1400,2,7800000
2,1215,2,5000000
3,1654,3,10000000
2,1181,2,5500000
2,1200,2,7500000
1,595,1,3183000
2,1105,2,5100000
2,1255,2,6526000
3,1550,3,8200000
3,1650,3,12200000
2,912,2,5500000
2,1218,2,7300000
2,1115,2,6512000
3,1893,3,10000000
3,1600,3,9500000
2,1275,2,6500000
2,892,2,3900000
2,1260,2,7000000
2,1157,2,4000000
2,1150,2,6500000
2,1100,2,3900000
3,1725,3,11000000
6,1850,6,15000000
2,950,2,3800000
2,1220,2,8000000
2,1130,2,7800000
3,1486,3,8322000
2,1015,2,4800000
2,1115,2,6100000
2,1136,2,4800000
4,2700,4,26000000
3,1200,2,6900000
3,1465,2,7600000
2,1302.5,2,6773000
2,1200,2,6500000
2,1240,2,6500000
3,1476,3,12500000
3,1532.5,3,8429000
2,1268,2,6900000
3,1450,2,8700000
4,2932,5,19500000
2,960,2,5800000
3,1750,3,13000000
2,1275,2,7300000
2,1240,2,7100000
2,1215,2,6800000
2,1215,2,6800000
3,1894,3,11500000
3,1693,3,8900000
2,1280,2,6016000
1,630,1,3500000
2,1215,2,6800000
3,1365,3,7618000
2,1115,2,7800000
3,1532.5,3,7946500
3,1655,3,9000000
2,1247,2,4739000
2,1237.5,2,4949000
3,1650,3,9400000
2,905,2,6500000
2,1000,2,5000000
4,2185,3,12000000
2,1012,2,4500000
3,1460,2,8000000
2,1340,2,8500000
3,1711,3,12500000
3,1520,2,8100000
3,2826,3,14800000
2,1115,2,6100000
2,1154,2,4700000
2,1000,2,4450000
2,1250,2,4800000
3,1640,3,10500000
2,1012,2,4400000
3,1527,3,11500000
3,1550,3,9600000
2,1200,2,7800000
3,1885,3,12500000
3,1450,2,7800000
1,700,1,3120000
2,905,2,5800000
3,1920,3,12200000
4,2400,4,18000000
2,1270,2,4500000
3,1520,2,8000000
3,1270,2,7300000
3,1846,3,12000000
2,1122.5,2,6174000
3,1655,3,9500000
2,1206,2,5300000
2,1150,2,5500000
2,1215,2,6500000
3,1510,2,11000000
2,1022,2,3500000
2,1246,2,4735000
3,1470,2,8500000
2,1160,2,4500000
2,970,2,5700000
3,1527,3,14200000
2,1100,2,6000000
2,1045,2,4200000
2,1100,2,6000000
2,1301,2,5500000
3,1540,2,7000000
3,1440,3,7200000
3,1294,2,5200000
2,1100,2,6000000
2,1036,2,10500000
4,2600,4,26000000
3,1600,2,16000000
2,1560,2,14500000
3,1800,3,19500000
2,1100,2,9300000
2,1050,2,10300000
2,1180,2,12400000
2,1200,2,12000000
4,2453,3,25000000
5,4500,5,41500000
3,1865,3,14500000
2,1200,2,9000000
5,2400,4,31000000
2,1200,2,8000000
2,900,2,6000000
3,1900,3,15000000
2,1200,2,8500000
2,1200,2,7000000
2,1200,2,6500000
3,1779,3,8961000
2,1300,2,5000000
3,1945,3,9742000
3,1777,3,10000000
2,1135,2,4300000
2,1276,2,4500000
3,1880,3,9436000
2,1071,2,6200000
2,1165,2,4300000
2,1636,2,8289000
3,1779,3,9000000
2,1090,2,3837000
3,2082,3,10400000
3,2024,3,10300000
2,1097,2,4900000
3,1419,2,5900000
3,1580,3,7500000
3,1559,3,6300000
3,1445,2,4710000
3,1475,2,7400000
3,3500,4,18500000
2,1100,2,5500000
2,1306,2,6500000
3,1304,3,6500000
3,1411,2,6000000
2,815,2,4000000
3,1443,2,7000000
2,1200,2,4400000
2,1200,2,4680000
2,1160,2,4400000
3,1584,3,6500000
3,1615,3,5976000
2,1200,2,4320000
2,1160,2,4408000
2,1200,2,4500000
3,1615,3,6000000
3,1410,2,5300000
2,1200,2,3780000
2,1160,2,4059000
2,1260,2,4662000
3,1600,3,5814000
3,1500,2,7000000
2,1160,2,4200000
2,1240,2,3906000
2,1200,2,4500000
3,1500,2,5500000
3,1410,2,5217000
3,1583,3,7440000
2,1170,2,4600000
2,1160,2,4292000
3,1410,2,5217000
3,1565,2,5976000
2,1160,2,4200000
3,1410,2,5358000
2,1200,2,4500000
2,1200,2,4260000
2,1160,2,4200000
2,1334,2,4269000
3,1565,2,5791000
2,1200,2,4560000
2,1215,2,4313000
2,1160,2,3654000
2,1200,2,4440000
2,1260,2,3969000
2,1160,2,4400000
2,952,2,4200000
2,1200,2,4200000
2,1240,2,4588000
3,1200,3,5000000
2,1200,2,4400000
2,1100,2,4260000
3,1565,2,5791000
2,1200,2,4440000
2,1160,2,3654000
2,1215,2,4375000
2,1200,2,4473000
2,1160,2,4200000
3,1410,2,5499000
3,1767,3,10300000
2,1205,2,6600000
2,1250,2,7600000
2,1000,2,5000000
2,1281,2,7400000
2,921,2,4000000
3,1490,2,9800000
3,2039,3,16800000
3,1605,3,8500000
3,1692,3,8800000
2,1220,2,6000000
2,1299,2,8200000
2,900,2,5600000
2,1350,2,7900000
2,1286,2,5700000
4,3016,4,23000000
2,1457,2,8500000
2,1195,2,5100000
2,1050,2,7200000
4,3600,4,26000000
2,1310,2,7200000
2,924,2,3511000
3,1785,3,11800000
2,1051,2,6000000
2,1060,2,6500000
2,1100,2,6200000
2,1550,2,5900000
2,924,2,3511000
3,1685,3,10000000
2,982,2,5500000
2,981,2,3728000
2,1205,2,5900000
2,1063,2,5800000
2,1201,2,5999000
2,1325,2,6500000
2,1281,2,8700000
2,1200,2,5200000
3,1785,3,12000000
2,1088,2,4800000
2,1310,2,8500000
2,982,2,3728000
2,1465,3,9000000
3,1767,3,10900000
2,924,2,3511000
4,3600,4,24500000
2,1170,2,4679000
2,1150,2,6944000
2,1200,2,4500000
2,1410,3,9200000
2,950,2,3500000
2,1015,2,6000000
3,1685,3,10100000
3,1735,3,10500000
3,1685,3,11500000
3,1846,3,13500000
2,1049,2,5100000
2,1211,2,6300000
3,1717,3,11000000
2,1185,2,4739000
2,1200,2,6200000
2,1251,2,4700000
2,960,2,4800000
3,1690,2,11600000
1,950,1,4000000
2,850,2,4500000
2,1454,2,9000000
2,1195,2,5200000
3,1435,2,11500000
2,1260,2,8350000
3,1535,3,9000000
2,1047,2,7500000
2,1096,2,4000000
2,1262,2,4700000
3,3200,4,35000000
4,4460,5,65000000
3,2850,4,47000000
2,1300,2,12000000
2,1567,3,14000000
2,1688.12,2,27000000
3,1805,3,28000000
2,1688,2,28000000
2,1322,2,6800000
2,1351,2,7000000
2,1384,2,5900000
2,1351,2,7400000
2,1432,2,6800000
2,1349,2,5670000
2,1328,2,6900000
2,1300,2,5586000
3,1670,3,9900000
2,1444,2,7597000
2,1447,2,7597000
3,1700,3,12600000
2,1447,2,7597000
3,1760,3,12700000
2,1447,2,7597000
3,1949,3,12900000
3,1760,3,12800000
2,1447,2,7597000
4,2439,4,18500000
2,1444,2,7597000
2,1205,2,6447000
2,1447,2,7597000
4,2439,5,17000000
2,1205,2,6832000
2,1260,2,6990000
4,2439,4,17000000
3,1707,3,11500000
2,970,2,5250000
2,1277,2,7989000
3,1703,3,12000000
2,1125,2,6200000
2,1090,2,5200000
2,1112,2,6200000
3,2400,3,15000000
3,2968,3,22500000
2,950,2,5811000
2,1360,2,11000000
2,1125,2,6500000
2,950,2,5600000
3,1805,3,13400000
3,1755,3,12200000
1,665,1,5075000
2,1245,2,8628000
1,660,1,5400000
1,665,1,4608000
1,660,1,6200000
2,1365,2,12200000
3,1795,3,13900000
3,1740,3,15000000
3,1970,3,16400000
3,1516,3,14700000
3,1180,3,4800000
3,1075,2,4600000
3,1075,2,4500000
2,845,2,3300000
3,1075,2,4500000
2,845,2,3700000
2,845,2,2900000
3,1075,2,4700000
2,850,1,3200000
3,1075,2,5000000
3,1075,2,5200000
3,1180,2,4600000
3,1075,2,4200000
2,845,2,3700000
3,1075,2,4300000
2,700,1,3200000
3,1075,2,5200000
3,1075,2,5000000
2,845,2,3300000
2,945,2,3300000
2,845,2,3000000
3,1075,2,4300000
3,1080,2,4500000
3,1180,2,5550000
3,1075,2,4700000
3,1075,2,4800000
3,1075,2,4500000
3,1075,2,4400000
2,850,2,2700000
3,1075,2,4200000
2,845,2,3200000
2,845,2,3400000
8,3000,8,14000000
1,520,1,1950000
1,515,1,2500000
2,1090,3,4400000
3,1850,3,9000000
2,910,2,4500000
2,1050,2,4600000
2,1100,1,5500000
2,1350,2,7200000
4,2100,4,8500000
2,1307,2,5000000
2,1091,2,4000000
2,1160,2,5300000
2,1050,2,5400000
3,1260,3,4936000
3,1200,3,4600000
2,1035,2,4100000
2,1035,2,4173000
2,1034,2,4000000
2,877,2,3000000
2,920,2,3746000
2,1035,2,4143000
3,1295,2,5028000
2,1015,2,4000000
2,1000,2,3500000
2,955,2,3528000
2,1005,2,3977000
2,1014,2,3500000
2,1020,2,4089000
2,920,2,3720000
2,800,1,3200000
3,1280,3,5000000
3,1942,3,9000000
2,1127,2,4500000
2,877,2,2900000
3,1365,3,5281000
2,842,2,3000000
3,1260,3,4936000
3,1365,3,5282000
2,955,2,3797000
2,1089,2,4000000
3,1365,3,5396000
2,1090,2,3148000
3,1400,2,4044000
3,1320,2,3813000
2,1020,2,2945000
2,1165,2,3364000
2,1090,2,3148000
2,1000,2,2888000
2,1020,2,2945000
2,1160,2,3351000
2,1125,2,3249000
2,1125,2,3249000
2,1130,2,3264000
2,1065,2,3075000
3,1200,3,12500000
4,1632,3,14500000
4,1670,3,13500000
4,1680,3,13500000
4,1632,3,12800000
3,3339,3,25000000
4,1355,3,13500000
3,1232,3,9600000
4,1632,3,14000000
2,1150,2,6900000
2,1142,2,7000000
4,2800,4,24000000
3,1476,3,10500000
4,1700,4,15200000
2,1262,2,7500000
2,1139,2,8000000
2,1125,2,7000000
3,1420,3,8500000
2,941,2,4800000
2,1100,2,5500000
4,2400,3,14000000
2,1225,2,6650000
5,1950,6,17500000
2,1080,2,5000000
2,1230,2,5500000
2,1200,2,7500000
2,1089,2,4900000
2,1130,2,5600000
2,1270,2,9500000
3,1706,3,11500000
2,1389,2,9400000
2,1225,2,7200000
3,1746,3,11500000
4,1560,3,14900000
2,1382,2,8450000
2,1260,2,7000000
2,1206,2,9000000
3,1594,3,14000000
2,1153,2,5640000
2,1162,2,5990000
3,1991,4,10300000
2,1153,2,5700000
2,1162,2,5700000
2,1139,2,6200000
2,1139,2,5680000
2,1139,2,5685000
1,664,1,3500000
3,1820,3,9300000
3,1636,3,8500000
2,1444,2,7000000
2,1139,2,6000000
3,1820,3,9300000
2,1162,2,5800000
3,1636,3,8500000
3,1636,3,9200000
2,1087,2,5430000
2,1149,2,6500000
1,664,1,3540000
2,1153,2,5670000
2,1139,2,5650000
3,1636,3,8300000
1,664,1,3400000
2,1162,2,5800000
2,1153,2,6000000
3,1820,3,9900000
2,1172,2,5672500
3,1820,3,9500000
3,1820,3,9550000
2,1153,2,5600000
1,705,1,3454500
2,1153,2,5650000
2,1153,2,5800000
3,1636,3,8800000
2,1153,2,5655000
2,1153,2,5650000
2,1153,2,6000000
2,1120,2,5500000
2,1070,2,5500000
2,740,2,3700000
2,1028,2,4900000
2,1392,2,9800000
2,1070,2,4750000
3,1825,3,12600000
2,1025,2,5000000
2,1198,2,6000000
2,1560,2,8500000
3,1590,2,8500000
2,1100,2,5800000
2,1051,2,6100000
2,1020,2,5500000
2,1285,2,6500000
2,1040,2,5000000
2,1392,2,9500000
1,705,2,5000000
2,1125,2,4600000
3,1400,2,7800000
3,1400,2,7800000
2,907,2,3800000
2,1310,2,6200000
3,1475,2,12000000
4,1900,2,17000000
2,1350,2,18000000
